australia	26094	25681	0.9841726067295163	0
australia	26099	25613	0.9813785968811065	1
australia	26098	25540	0.9786190512682964	2
australia	26101	25592	0.980498831462396	3
australia	26095	25592	0.9807242766813565	4
australia	26099	25618	0.9815701751024943	5
australia	26095	25572	0.9799578463307147	6
australia	26085	25562	0.9799501629288864	7
australia	26093	25524	0.9781933851990955	8
australia	26099	25628	0.98195333154527	9
australia	260958	255922	0.9807018753975736	ave
brazil	38492	38242	0.9935051439260106	0
brazil	38492	38180	0.9918944196196612	1
brazil	38499	38157	0.9911166523805813	2
brazil	38504	38147	0.9907282360274258	3
brazil	38501	38254	0.9935845822186437	4
brazil	38503	38258	0.9936368594654962	5
brazil	38499	38206	0.9923894127120185	6
brazil	38492	38092	0.9896082302816169	7
brazil	38495	38211	0.9926224184959086	8
brazil	38503	38311	0.9950133755811236	9
brazil	384980	382058	0.9924099953244324	ave
canada	33215	32977	0.9928345626975764	0
canada	33219	33018	0.9939492459134832	1
canada	33219	32971	0.9925343929678798	2
canada	33219	32987	0.9930160450344683	3
canada	33216	32999	0.9934670038535646	4
canada	33215	32981	0.9929549902152642	5
canada	33220	33002	0.9934376881396749	6
canada	33217	32975	0.9927145738627811	7
canada	33220	33036	0.9944611679711017	8
canada	33218	33025	0.9941898970437715	9
canada	332178	329971	0.9933559717982527	ave
china	14180	14066	0.9919605077574047	0
china	14178	14102	0.9946395824516857	1
china	14173	14081	0.9935087843081917	2
china	14181	14104	0.9945701995627952	3
china	14169	14080	0.9937186816289082	4
china	14173	14094	0.9944260213081211	5
china	14186	14099	0.9938671930071902	6
china	14168	14092	0.9946357989836251	7
china	14175	14108	0.9952733686067019	8
china	14172	14086	0.9939316963025684	9
china	141755	140912	0.9940531198194067	ave
czechia	58367	58235	0.9977384480956705	0
czechia	58368	58262	0.9981839364035088	1
czechia	58364	58250	0.9980467411417997	2
czechia	58369	58276	0.9984066884818996	3
czechia	58365	58243	0.9979097061595134	4
czechia	58364	58221	0.997549859502433	5
czechia	58371	58283	0.9984924020489627	6
czechia	58367	58227	0.997601384343893	7
czechia	58364	58237	0.9978240010965663	8
czechia	58367	58195	0.9970531293367828	9
czechia	583666	582429	0.997880637213749	ave
ecuador	1875	1861	0.9925333333333334	0
ecuador	1875	1843	0.9829333333333333	1
ecuador	1875	1854	0.9888	2
ecuador	1880	1852	0.9851063829787234	3
ecuador	1880	1862	0.9904255319148936	4
ecuador	1880	1862	0.9904255319148936	5
ecuador	1875	1859	0.9914666666666667	6
ecuador	1880	1856	0.9872340425531915	7
ecuador	1880	1862	0.9904255319148936	8
ecuador	1880	1860	0.9893617021276596	9
ecuador	18780	18571	0.9888711395101172	ave
estonia	36044	35651	0.9890966596382199	0
estonia	36042	35641	0.9888740913378836	1
estonia	36042	35688	0.9901781255202264	2
estonia	36042	35627	0.9884856556239943	3
estonia	36042	35668	0.9896232173575273	4
estonia	36042	35635	0.9887076188890739	5
estonia	36044	35664	0.9894573299300855	6
estonia	36042	35683	0.9900393984795516	7
estonia	36044	35686	0.9900676950393963	8
estonia	36042	35686	0.9901226347039565	9
estonia	360426	356629	0.9894652439058226	ave
france	217891	214668	0.9852082004304905	0
france	217902	214984	0.9866086589384219	1
france	217905	214956	0.986466579472706	2
france	217909	214911	0.9862419633883869	3
france	217911	214639	0.9849846955867304	4
france	217909	215105	0.9871322432758629	5
france	217904	214967	0.9865215874880682	6
france	217899	214722	0.9854198504811862	7
france	217909	214918	0.9862740868894814	8
france	217894	214912	0.9863144464739736	9
france	2179033	2148782	0.9861172364071585	ave
germany	203216	202416	0.9960633021021966	0
germany	203222	202385	0.9958813514284871	1
germany	203232	202469	0.9962456699732326	2
germany	203224	202456	0.9962209187891194	3
germany	203219	202441	0.9961716178113267	4
germany	203224	202452	0.9962012360744794	5
germany	203221	202531	0.9966046816027871	6
germany	203206	202487	0.9964617186500399	7
germany	203222	202426	0.9960831012390391	8
germany	203227	202504	0.9964424018462114	9
germany	2032213	2024567	0.9962375991099358	ave
india	77257	76500	0.9902015351359748	0
india	77248	76388	0.9888670256835128	1
india	77258	76495	0.9901240001035492	2
india	77258	76490	0.9900592818866655	3
india	77251	76462	0.9897865399800649	4
india	77239	76405	0.9892023459651212	5
india	77256	76561	0.9910039349694522	6
india	77253	76516	0.9904599174142105	7
india	77264	76604	0.9914578587699316	8
india	77251	76447	0.98959236773634	9
india	772535	764868	0.9900755305584861	ave
italy	20398	20226	0.9915678007647809	0
italy	20404	20214	0.990688100372476	1
italy	20398	20203	0.990440239239141	2
italy	20398	20226	0.9915678007647809	3
italy	20393	20182	0.9896533124111214	4
italy	20394	20157	0.9883789349808767	5
italy	20398	20163	0.988479262672811	6
italy	20403	20227	0.9913738175758466	7
italy	20398	20127	0.986714383763114	8
italy	20393	20200	0.9905359682243907	9
italy	203977	201925	0.9899400422596666	ave
japan	414217	413524	0.998326963886079	0
japan	414236	413623	0.9985201672476559	1
japan	414218	413550	0.9983873226175589	2
japan	414229	413628	0.9985491117232256	3
japan	414231	413622	0.9985298058329772	4
japan	414223	413516	0.9982931899001263	5
japan	414228	413554	0.9983728767731781	6
japan	414226	413527	0.9983125153901493	7
japan	414224	413589	0.9984670130171115	8
japan	414224	413585	0.9984573564061957	9
japan	4142256	4135718	0.9984216330424773	ave
malaysia	2798	2786	0.995711222301644	0
malaysia	2778	2756	0.9920806335493161	1
malaysia	2785	2772	0.9953321364452423	2
malaysia	2785	2762	0.9917414721723519	3
malaysia	2797	2753	0.9842688594923132	4
malaysia	2797	2778	0.9932070075080444	5
